n_samples,n_features,max_num_threads,fit_time,predict_time,run_id
100,10,1,0.01559251002319177,0.0006002795140967155,20260218_160458
1000,10,1,0.11985850235321456,0.010207806903165374,20260218_160458
10000,10,1,0.23983634255596875,0.08272090163969552,20260218_160458
100000,10,1,0.9275841526662892,0.8005504719997892,20260218_160458
1000000,10,1,7.021830000001501,7.5581617089992505,20260218_160458
100,100,1,0.04356188559564118,0.0006255228301922874,20260218_160458
1000,100,1,0.6272770314999434,0.01071064778077799,20260218_160458
10000,100,1,1.4008693539999513,0.08993003256514583,20260218_160458
100000,100,1,5.001881041000161,1.2192748540001048,20260218_160458
1000000,100,1,39.324457750000875,10.747889292000764,20260218_160458
100,1000,1,0.4079643581993878,0.0006873874701285007,20260218_160458
1000,1000,1,7.27901225000096,0.012781533949086583,20260218_160458
100,10,2,0.030922378215529116,0.0006127731577586091,20260218_160458
1000,10,2,0.13796887486678316,0.005522497404881781,20260218_160458
10000,10,2,0.20654880000001868,0.042816929127590636,20260218_160458
100000,10,2,0.5958047599997371,0.40258145820043867,20260218_160458
1000000,10,2,3.921780000000581,3.8591092910028237,20260218_160458
100,100,2,0.05280267757868722,0.0006185940256099652,20260218_160458
1000,100,2,0.4756528249992698,0.006067888948393485,20260218_160458
10000,100,2,0.8795708049995786,0.04888305078060423,20260218_160458
100000,100,2,2.8253652499988675,0.5172541042493322,20260218_160458
1000000,100,2,21.95533487499779,4.989116249998915,20260218_160458
100,1000,2,0.32690482142840793,0.0006372595657969727,20260218_160458
1000,1000,2,4.050560375002533,0.006997973188883368,20260218_160458
100,10,4,0.03136829557837473,0.0007343792753699384,20260218_160458
1000,10,4,0.154510568429032,0.00327248190849644,20260218_160458
10000,10,4,0.205371579000348,0.02293783143183894,20260218_160458
100000,10,4,0.5535885524996047,0.20804904960023124,20260218_160458
1000000,10,4,2.963477666999097,1.9444619579990103,20260218_160458
100,100,4,0.049628882146551895,0.0008778083475770376,20260218_160458
1000,100,4,0.42925674180005446,0.0035762729714081485,20260218_160458
10000,100,4,0.7325328889989274,0.02677394833328435,20260218_160458
100000,100,4,2.067145958000765,0.35844364599931094,20260218_160458
1000000,100,4,17.657527250001294,3.4176499580025848,20260218_160458
100,1000,4,0.2832104376257121,0.0007993628928761391,20260218_160458
1000,1000,4,3.1622961670000223,0.004098031944786624,20260218_160458
100,10,8,0.06446777865642161,0.002185696174609401,20260218_160458
1000,10,8,0.42866123339990736,0.003996601065709311,20260218_160458
10000,10,8,0.5347420939997392,0.018676756110970152,20260218_160458
100000,10,8,0.8402826943335336,0.14885009221429105,20260218_160458
1000000,10,8,3.7302665000024717,1.3655942499990488,20260218_160458
100,100,8,0.08618207299999388,0.0022119828386493387,20260218_160458
1000,100,8,0.6638025829988692,0.004076839501030251,20260218_160458
10000,100,8,1.0407348334993003,0.025306027149872533,20260218_160458
100000,100,8,3.156327374999819,0.5025276875012423,20260218_160458
1000000,100,8,18.119460624999192,3.773209457998746,20260218_160458
100,1000,8,0.4393239917997562,0.002210077689510374,20260218_160458
1000,1000,8,4.031551709002088,0.005227172563940134,20260218_160458
